ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
76,新北市,蘆洲區,中華里,中山二路162號2樓,A6514-50,A6514-50-006,A6514-0520-00,AL0-F2-0-2020M07,121.470990485193,25.0811887373298,EPSG:4326
77,,,,,,,,門牌比對失敗或格式有誤,,,
78,臺中市,南區,,興路三段362號,,,,門牌比對失敗或格式有誤,,,
79,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
80,臺中市,霧峰區,本堂里,中正路738-1號,A6626-19,A6626-19-007,A6626-0306-00,AL0-F2-0-2020M07,120.699230603855,24.0585471308112,EPSG:4326
81,臺南市,東區,忠孝里,中華東路三段332號,A6732-49,A6732-49-001,A6732-0817-00,AL0-F1-0-2020M07,120.22149004445,22.9751577479206,EPSG:4326
82,,,,,,,,門牌比對失敗或格式有誤,,,
83,臺南市,中西區,大涼里,中華西路二段34號,A6737-18,A6737-18-012,A6737-0351-00,AL0-F1-0-2020M07,120.187465390502,22.9920975388783,EPSG:4326
84,臺北市,信義區,,WestDr.SunYat-sen’sHistoryExhibitionRoom(1F),,,,門牌比對失敗或格式有誤,,,
85,臺北市,文山區,景行里,景文街32號,A6308-51,A6308-51-006,A6308-0571-00,AL0-F1-0-2020M07,121.541178015374,24.9920906096171,EPSG:4326
86,高雄市,路竹區,竹南里,國昌路86巷9號,A6424-14,A6424-14-122,A6424-0331-00,AL0-F1-0-2020M07,120.258264591128,22.8558980491189,EPSG:4326
87,高雄市,路竹區,竹南里,國昌路86巷9號,A6424-14,A6424-14-122,A6424-0331-00,AL0-F1-0-2020M07,120.258264591128,22.8558980491189,EPSG:4326
88,臺北市,松山區,美仁里,八德路三段25號,A6301-58,A6301-58-002,A6301-0620-00,AL0-F1-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
89,臺中市,南區,,興路三段362號,,,,門牌比對失敗或格式有誤,,,
90,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
91,苗栗縣,銅鑼鄉,九湖村,銅科南路6號,A0510-09,A0510-09-006,A0510-0148-00,AL0-F1-0-2020M07,120.770858651643,24.4626933869243,EPSG:4326
92,高雄市,鳳山區,新強里,三多一路1號,A6412-71,A6412-71-448,A6412-0794-00,AL0-F1-0-2020M07,120.342433686041,22.6241698208957,EPSG:4326
93,苗栗縣,竹南鎮,,公園路206號,,,,門牌比對失敗或格式有誤,,,
