ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
431,黃朝份,臺北市,人像剪影,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-03-15/11a129e3-f64b-4416-aafc-817cd60849ad/6d55773c40e3787ed35933aee8dcf426.JPG
432,黃偉雯,臺北市,印度身體彩繪（Mehdi蔓哈荻）,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-06/dcac8191-06bb-444d-8769-c4a8c9de6365/dd021934e769f5586b014dc485b8931f.jpg
433,李育凝,臺北市,街頭人、景、物速寫創作,視覺藝術,
434,溫牧,臺北市,Q版人像,視覺藝術,
435,吳美蓮,臺北市,打包帶編織及手作童玩,創意工藝,
436,陳熒家,臺北市,藝術造型氣球,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-12/f756ac95-aed2-49c9-8edb-df7363669528/e2d7e3d9031cf71188c815ae78a62089.jpg
437,吳稼寅,臺北市,公仔原型師,創意工藝,
438,劉佳宜,臺北市,鉤針編織創作,創意工藝,
439,謝明松,臺北市,創意捏塑、捏麵人,創意工藝,
440,許高阿粉,臺北市,吸管以及打包帶編織,創意工藝,
441,劉雅萍,臺北市,創意彩繪環保設計,創意工藝,
442,高明德,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2018-12-08/bdb55cb5-0c16-49cc-9515-09dd05fad3f7//e429fdef99654e18683635c0bb7b31fe.jpg
443,吳靜茹,臺北市,"動物,卡通嘉年華造型氣球",創意工藝,
444,陳敏宏,臺北市,Keyboard自彈自唱,表演藝術,
445,李政霖,臺北市,烏克麗麗與吉他演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-07-28/0c6e3d8c-d4ab-497b-82d5-6166108970e8/1ed459c8251008eef9c5cb6acb4ead04.jpg
446,曾安邦,臺北市,小丑氣球秀,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-12/4ed86492-95c4-4159-acdb-2b7b009e1ef0/f2174417a518f6d4a7629f2e805b56cf.jpg
447,張子威,臺北市,手繞玲及扯鈴,表演藝術,
