ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
27,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
28,臺北市,中正區,東門里,徐州路46號,A6305-09,A6305-09-005,A6305-0151-00,AL0-F1-0-2020M07,121.524694611267,25.0403008811871,EPSG:4326
29,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
30,臺中市,404,,53臺中市北區館前路一號,,,,門牌比對失敗或格式有誤,,,
31,,,,,,,,門牌比對失敗或格式有誤,,,
32,臺北市,中正區,,中正區羅斯福路二段,,,,門牌比對失敗或格式有誤,,,
33,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
34,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
35,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
36,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
37,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
38,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
39,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
40,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
41,臺中市,北區,淡溝里,館前路1號,A6605-35,A6605-35-009,A6605-0471-00,AL0-F1-0-2020M07,120.666160087196,24.1558015267224,EPSG:4326
42,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
43,臺北市,中正區,東門里,徐州路46號,A6305-09,A6305-09-005,A6305-0151-00,AL0-F1-0-2020M07,121.524694611267,25.0403008811871,EPSG:4326
44,臺北市,松山區,新聚里,南京東路五段250巷36弄8號1樓,A6301-59,A6301-59-008,A6301-0655-00,AL0-F2-0-2020M07,121.566472665139,25.0495105439812,EPSG:4326
45,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
46,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
47,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
48,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
49,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
50,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
51,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
52,臺北市,中正區,幸福里,齊東街53巷11號,A6305-05,A6305-05-003,A6305-0117-00,AL0-F1-0-2020M07,121.528795102168,25.0415770990333,EPSG:4326
53,臺北市,中正區,幸福里,齊東街53巷11號,A6305-05,A6305-05-003,A6305-0117-00,AL0-F1-0-2020M07,121.528795102168,25.0415770990333,EPSG:4326
54,臺中市,北區,淡溝里,館前路1號,A6605-35,A6605-35-009,A6605-0471-00,AL0-F1-0-2020M07,120.666160087196,24.1558015267224,EPSG:4326
55,宜蘭縣,五結鄉,季新村,五濱路二段201號,A0209-13,A0209-13-006,A0209-0218-00,AL0-F1-0-2020M07,121.82407148253,24.6858943733361,EPSG:4326
56,高雄市,鳳山區,新強里,三多一路1號,A6412-71,A6412-71-448,A6412-0794-00,AL0-F1-0-2020M07,120.342433686041,22.6241698208957,EPSG:4326
57,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
58,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
59,臺南市,南區,新昌里,西門路一段６８９巷５９號,A6733-02,A6733-02-001,A6733-0009-00,AL0-F1-0-2020M07,120.196646375654,22.9867155371851,EPSG:4326
60,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
61,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
62,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
63,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
64,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
65,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
66,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
67,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
68,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
69,臺北市,松山健,,康公宅、文山興隆公宅、萬華青年公宅,,,,門牌比對失敗或格式有誤,,,
70,基隆市,中正區,港通里,信一路181號,A1701-21,A1701-21-009,A1701-0249-00,AL0-F1-0-2020M07,121.744172342018,25.1312548083407,EPSG:4326
71,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
72,臺北市,松山區,新聚里,南京東路五段250巷36弄8號1樓,A6301-59,A6301-59-008,A6301-0655-00,AL0-F2-0-2020M07,121.566472665139,25.0495105439812,EPSG:4326
