ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
838,陳韻如,臺北市,手風琴演奏,表演藝術,
839,謝建榮,臺北市,吉他彈奏,表演藝術,
840,陳敦邦,臺北市,小提琴演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/fa896d2c-c5f4-4928-9cc1-b129183c0ea9/31ba35170a70e1ae1f3c8515faaa1a41.png
841,凌永明,臺北市,薩克斯風演奏,表演藝術,
842,楊元慶,臺北市,花式溜溜球,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/134b2479-55a7-4c88-b243-d6c947974be1/7ab304a2e5092c8431680deb43159ccb.jpg
843,郭陳素質,臺北市,藺編飄香鄉土傳情,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/7b9a6e7e-f42b-497c-b58c-ca116f630e85/30f7e05d32ce5d3ff821cf6528640640.jpg
844,吳秋榮,臺北市,吹糖技藝,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/dd8247e9-3dfe-47db-a236-8497c83088c5/84733b8325c67a59ce90ddf77478908e.jpg
845,簡輝宗,臺北市,葉笛吹奏,表演藝術,
846,高銘振,臺北市,keyboard自彈自唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/13d7977e-c206-4d48-bf11-8a90c54bf801/f36a822ebcfa98c270e18a0d3a6732d2.jpg
847,張啟山,臺北市,keyboard英文情歌自彈自唱,表演藝術,
848,謝文宗,臺北市,小提琴演奏,表演藝術,
849,許尹東,臺北市,打擊樂,表演藝術,
850,黃裕谷,臺北市,魔術表演,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2019-11-03/6650a872-e2f9-469f-869c-ef310385dc09/bfdcc2057da7464f27033c553bc43432.jpg
851,姜禮揚,臺北市,魔術,表演藝術,
852,馬佩雯,臺北市,剪影藝術,視覺藝術,
853,李沛穎,臺北市,人像速寫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/12e34afa-2475-49a1-ab44-82716f1e3d82/f89b3de31432c97d0aaa0ecf67983ba9.jpg
854,彭漢津,臺北市,人像速寫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/eec68785-0189-4588-8aca-8a751f7fc8ee/98751b7cc707821e8c23752d0261a298.jpg
855,黃國昇,臺北市,人像素描,視覺藝術,
856,俞振威,臺北市,人像素描,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/5593fd78-05da-4307-b42e-c14bd7544a32/35c949905291ae84a5384bdcdeddbca7.jpg
857,孫宇立,臺北市,造型氣球,創意工藝,
858,石正蓉,臺北市,袖珍花藝創作,創意工藝,
859,簡宗賢,臺北市,尺八(日本蕭)演奏,表演藝術,
860,朱梵光,臺北市,複音口琴,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/febeefa7-45d2-490e-ba17-31f1a823f837/81bbcccd0718937d5012a6fdaa1b2e47.jpg
861,龍安平,臺北市,小提琴獨奏,表演藝術,
862,丁秀津,臺北市,月琴唸唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/906fc97c-b55c-4bb3-b1be-2c0e61eae953/6824c9824228039e9d52af399b6dba73.jpg
863,陳冠瑋,臺北市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2020-07-14/4fc6012b-3b2b-402f-925a-f7a9574377d2//6735dfb5526b2f144a88d946e37c2399.jpg
864,張雲翔,臺北市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/1873641a-6dd8-41e2-9e8b-a23c36e9f394/772fbf635887869e3b36f6d85a8f9e7d.jpg
